,Reconciled_Name,Year,count,mean,std,min,CI4%,CI50%,CI96%,max,PlottingGroup,Dimension
8950,Diabetes,2001,25,-0.129151905,0.10756248,-0.317119367,-0.298288408,-0.09631855,0.007752496,0.106445873,behavioral,stigmaindex
8975,Diabetes,2004,25,-0.063617466,0.105902942,-0.316144889,-0.242675385,-0.026773654,0.068475574,0.113051817,behavioral,stigmaindex
9000,Diabetes,2007,25,-0.161381059,0.080759617,-0.359531451,-0.280038773,-0.15543683,-0.029130116,-0.00732002,behavioral,stigmaindex
9025,Diabetes,2010,25,-0.387902761,0.099176747,-0.601018243,-0.564002506,-0.40185599,-0.238846818,-0.211068085,behavioral,stigmaindex
9050,Diabetes,2013,25,-0.272708923,0.097982194,-0.486059157,-0.434690962,-0.267020517,-0.130593525,-0.085019264,behavioral,stigmaindex
9075,Diabetes,2016,25,-0.253158678,0.119355412,-0.465758471,-0.456397919,-0.28263781,-0.066323115,0.0065175,behavioral,stigmaindex
9100,Dissociative_disorder,1980,0,,,,,,,,mental,stigmaindex
9125,Dissociative_disorder,1983,11,1.133106822,0.199071668,0.806958433,0.857369713,1.0777421,1.428637654,1.448647052,mental,stigmaindex
9150,Dissociative_disorder,1986,15,0.85738789,0.392012413,0.032189485,0.27620927,0.848360024,1.467016834,1.484795779,mental,stigmaindex
9175,Dissociative_disorder,1989,25,1.416718003,0.229779573,1.034369692,1.152117738,1.349587083,1.808977567,1.988269836,mental,stigmaindex
9200,Dissociative_disorder,1992,25,1.597239054,0.215592957,1.252570145,1.285723228,1.6317963,1.956199436,2.046693563,mental,stigmaindex
9225,Dissociative_disorder,1995,25,1.643598553,0.215915632,1.256944031,1.320976313,1.612701684,1.996026961,2.044843823,mental,stigmaindex
9250,Dissociative_disorder,1998,25,1.678200361,0.18422475,1.370291457,1.390401973,1.664054722,1.964599857,2.098640442,mental,stigmaindex
9275,Dissociative_disorder,2001,25,1.708077568,0.288347295,1.153006464,1.301578113,1.708990395,2.085522468,2.312719047,mental,stigmaindex
9300,Dissociative_disorder,2004,25,1.272058615,0.264363742,0.56585519,0.889826614,1.340115227,1.691379313,1.780714869,mental,stigmaindex
9325,Dissociative_disorder,2007,25,1.250437052,0.236819511,0.699384548,0.724970687,1.220128112,1.562381049,1.671728201,mental,stigmaindex
9350,Dissociative_disorder,2010,25,1.384290009,0.250281776,0.822836232,0.891960681,1.372715369,1.780535748,1.874432862,mental,stigmaindex
9375,Dissociative_disorder,2013,25,1.424380828,0.310577136,0.768599134,0.957015495,1.412965611,1.813560512,2.133623064,mental,stigmaindex
9400,Dissociative_disorder,2016,25,1.668490096,0.266093541,1.327787478,1.32843875,1.637138262,2.084843205,2.364381284,mental,stigmaindex
9425,Down_syndrome,1980,25,-0.448254332,0.13183556,-0.730160445,-0.723689332,-0.433708416,-0.246576921,-0.206955962,neurodevelopmental,stigmaindex
9450,Down_syndrome,1983,25,-0.381668423,0.117311091,-0.620240107,-0.547042705,-0.38738206,-0.187887131,-0.166431576,neurodevelopmental,stigmaindex
9475,Down_syndrome,1986,25,-0.042600131,0.14582871,-0.3058304,-0.278492185,-0.057271463,0.133567773,0.16259662,neurodevelopmental,stigmaindex
9500,Down_syndrome,1989,25,-0.02528555,0.127944729,-0.239278945,-0.201142615,-0.022635985,0.209641959,0.271492877,neurodevelopmental,stigmaindex
9525,Down_syndrome,1992,25,0.240314745,0.14330164,0.008437585,0.043120667,0.223914105,0.474724782,0.492683191,neurodevelopmental,stigmaindex
9550,Down_syndrome,1995,25,0.234419017,0.096294534,0.054687547,0.115109792,0.239866522,0.379306052,0.409248412,neurodevelopmental,stigmaindex
9575,Down_syndrome,1998,25,0.33032931,0.109905741,0.096863288,0.161507487,0.33799505,0.480321283,0.522591695,neurodevelopmental,stigmaindex
9600,Down_syndrome,2001,25,0.579431272,0.098023106,0.354401747,0.439457318,0.585158218,0.750214636,0.758210659,neurodevelopmental,stigmaindex
9625,Down_syndrome,2004,25,0.579029737,0.100695996,0.433418531,0.476307433,0.551233996,0.762623258,0.769454837,neurodevelopmental,stigmaindex
9650,Down_syndrome,2007,25,0.486602302,0.099871307,0.259393667,0.323081365,0.506995179,0.611172087,0.614360504,neurodevelopmental,stigmaindex
9675,Down_syndrome,2010,25,0.758206159,0.114963008,0.550390638,0.572036408,0.76549951,0.974712479,0.996553227,neurodevelopmental,stigmaindex
9700,Down_syndrome,2013,25,0.000559447,0.095032931,-0.192549326,-0.143677209,-0.001853945,0.146912692,0.155360892,neurodevelopmental,stigmaindex
9725,Down_syndrome,2016,25,0.218687288,0.170920391,-0.021556871,-0.007412877,0.191841325,0.479711418,0.540727139,neurodevelopmental,stigmaindex
9750,Dyslexia,1980,25,0.640332976,0.319275777,0.059739564,0.159084308,0.623788096,1.104897748,1.323274523,neurodevelopmental,stigmaindex
9775,Dyslexia,1983,25,0.760816152,0.192920422,0.476863924,0.47972641,0.782374024,1.123043354,1.142435268,neurodevelopmental,stigmaindex
9800,Dyslexia,1986,25,0.563487743,0.159624378,0.201868823,0.311018384,0.570644908,0.8016144,0.870631486,neurodevelopmental,stigmaindex
9825,Dyslexia,1989,25,0.68116631,0.25440115,0.137039654,0.231644484,0.739571989,1.032769468,1.050649352,neurodevelopmental,stigmaindex
9850,Dyslexia,1992,25,0.505208993,0.209221599,-0.034193046,0.267073657,0.512304582,0.793543956,0.971267641,neurodevelopmental,stigmaindex
9875,Dyslexia,1995,25,0.838006229,0.11486628,0.60953971,0.675617681,0.824923731,1.030387743,1.051437691,neurodevelopmental,stigmaindex
9900,Dyslexia,1998,25,0.537651178,0.204381713,0.126624074,0.186229271,0.56683474,0.82525117,0.920784846,neurodevelopmental,stigmaindex
9925,Dyslexia,2001,25,0.437506303,0.175451348,0.102877717,0.169013991,0.443628512,0.703732277,0.72520484,neurodevelopmental,stigmaindex
9950,Dyslexia,2004,25,0.069499518,0.178146196,-0.263850108,-0.250226896,0.104575817,0.280559185,0.28730794,neurodevelopmental,stigmaindex
9975,Dyslexia,2007,25,0.233788225,0.16103103,-0.151429145,-0.030717423,0.238276452,0.408023386,0.592729041,neurodevelopmental,stigmaindex
10000,Dyslexia,2010,25,-0.042860654,0.229705089,-0.476702623,-0.429771596,-0.024483867,0.329333912,0.415747084,neurodevelopmental,stigmaindex
10025,Dyslexia,2013,25,-0.091982045,0.181115821,-0.410036348,-0.345608775,-0.120162725,0.21550986,0.256371889,neurodevelopmental,stigmaindex
10050,Dyslexia,2016,25,-0.564934931,0.246184507,-1.0550026,-1.054712778,-0.549750935,-0.225040864,-0.045379772,neurodevelopmental,stigmaindex
10075,Eating_disorder,1980,6,1.324614637,0.16061423,1.086273551,1.110635364,1.356293984,1.519519103,1.552283943,eating disorders,stigmaindex
10100,Eating_disorder,1983,25,0.756297275,0.267029165,0.251870994,0.371637665,0.788921118,1.138158792,1.240301818,eating disorders,stigmaindex
10125,Eating_disorder,1986,25,0.892230538,0.257779867,0.336771809,0.39190388,0.927469701,1.255977814,1.398769796,eating disorders,stigmaindex
10150,Eating_disorder,1989,25,0.837989358,0.211106253,0.558653565,0.608833511,0.785255194,1.244823394,1.306345344,eating disorders,stigmaindex
10175,Eating_disorder,1992,25,1.324195733,0.142097204,0.990075573,1.145123276,1.307625473,1.570300932,1.64204812,eating disorders,stigmaindex
10200,Eating_disorder,1995,25,1.162598952,0.128547551,0.93279767,0.945674849,1.185144722,1.316160963,1.317188263,eating disorders,stigmaindex
10225,Eating_disorder,1998,25,1.320652152,0.12030576,1.102562353,1.127524707,1.358796284,1.482785622,1.486023813,eating disorders,stigmaindex
10250,Eating_disorder,2001,25,1.196613823,0.112370181,0.972349901,1.020421205,1.19571235,1.400610317,1.429178447,eating disorders,stigmaindex
10275,Eating_disorder,2004,25,1.157959445,0.076791925,1.035081416,1.067239,1.146160677,1.275238993,1.378414318,eating disorders,stigmaindex
10300,Eating_disorder,2007,25,1.122714862,0.12621212,0.871944699,0.942684633,1.116264641,1.302048078,1.339067355,eating disorders,stigmaindex
10325,Eating_disorder,2010,25,0.952536001,0.118953893,0.725988284,0.762157093,0.951826271,1.133902984,1.159731448,eating disorders,stigmaindex
10350,Eating_disorder,2013,25,0.886970065,0.10523949,0.63347476,0.736961615,0.907844111,1.031716084,1.089046478,eating disorders,stigmaindex
10375,Eating_disorder,2016,25,0.99472897,0.131170559,0.757094428,0.774269056,1.000141591,1.190957365,1.222811222,eating disorders,stigmaindex
10400,Eczema,1980,0,,,,,,,,autoimmune,stigmaindex
10425,Eczema,1983,1,2.254705817,,2.254705817,2.254705817,2.254705817,2.254705817,2.254705817,autoimmune,stigmaindex
10450,Eczema,1986,0,,,,,,,,autoimmune,stigmaindex
10475,Eczema,1989,3,1.674428244,0.300861552,1.33525157,1.370745354,1.778923869,1.89869446,1.909109294,autoimmune,stigmaindex
10500,Eczema,1992,12,1.459116531,0.261594267,1.178560294,1.197633105,1.376275036,1.904039218,2.113440946,autoimmune,stigmaindex
10525,Eczema,1995,25,1.721910724,0.290842572,0.958140329,1.014730018,1.804104611,2.053026809,2.077704877,autoimmune,stigmaindex
10550,Eczema,1998,25,1.445592132,0.315456131,0.874627307,0.902081755,1.43668969,1.926760288,1.927168742,autoimmune,stigmaindex
10575,Eczema,2001,25,1.788618628,0.142538464,1.466322124,1.585439055,1.821479797,1.973191587,2.102750808,autoimmune,stigmaindex
10600,Eczema,2004,25,1.401277547,0.281096005,0.780115591,0.938786474,1.455477864,1.783015536,2.116315097,autoimmune,stigmaindex
10625,Eczema,2007,25,1.600421787,0.256575996,1.182348646,1.188392759,1.550244771,2.090676506,2.170463026,autoimmune,stigmaindex
10650,Eczema,2010,25,1.016014882,0.220363719,0.697451783,0.80499786,0.959442422,1.505673505,1.553263217,autoimmune,stigmaindex
10675,Eczema,2013,25,1.222909204,0.129563882,0.826894727,0.999781777,1.244912535,1.373828993,1.398719653,autoimmune,stigmaindex
10700,Eczema,2016,25,0.691554796,0.182061763,0.395039963,0.400631835,0.689843849,0.967143663,1.245838776,autoimmune,stigmaindex
10725,Epidermolysis_Bullosa,1980,0,,,,,,,,genetic,stigmaindex
10750,Epidermolysis_Bullosa,1983,0,,,,,,,,genetic,stigmaindex
10775,Epidermolysis_Bullosa,1986,0,,,,,,,,genetic,stigmaindex
10800,Epidermolysis_Bullosa,1989,0,,,,,,,,genetic,stigmaindex
10825,Epidermolysis_Bullosa,1992,0,,,,,,,,genetic,stigmaindex
10850,Epidermolysis_Bullosa,1995,0,,,,,,,,genetic,stigmaindex
10875,Epidermolysis_Bullosa,1998,0,,,,,,,,genetic,stigmaindex
10900,Epidermolysis_Bullosa,2001,0,,,,,,,,genetic,stigmaindex
10925,Epidermolysis_Bullosa,2004,0,,,,,,,,genetic,stigmaindex
10950,Epidermolysis_Bullosa,2007,5,0.576211242,0.258570844,0.235926873,0.273888117,0.499688298,0.839795989,0.841522008,genetic,stigmaindex
10975,Epidermolysis_Bullosa,2010,0,,,,,,,,genetic,stigmaindex
11000,Epidermolysis_Bullosa,2013,0,,,,,,,,genetic,stigmaindex
11025,Epidermolysis_Bullosa,2016,25,0.624536539,0.24324063,-0.032349067,0.307674226,0.589777876,0.942283211,1.248012245,genetic,stigmaindex
11050,Fibromyalgia,1980,5,0.186057574,0.123813513,0.024045777,0.038835625,0.206298623,0.333336744,0.352916121,contested,stigmaindex
11075,Fibromyalgia,1983,0,,,,,,,,contested,stigmaindex
11100,Fibromyalgia,1986,10,-0.498959696,0.245323224,-0.83087121,-0.791338471,-0.550768145,-0.100044844,-0.087350879,contested,stigmaindex
11125,Fibromyalgia,1989,9,0.970459316,0.225494948,0.574559342,0.647547439,0.952534109,1.311325413,1.348716646,contested,stigmaindex
11150,Fibromyalgia,1992,24,0.738404576,0.260256814,0.274453146,0.288069808,0.808447093,1.072014447,1.093083784,contested,stigmaindex
11175,Fibromyalgia,1995,25,0.406677778,0.211890064,-0.039580276,0.052900672,0.436951704,0.79301578,0.881755359,contested,stigmaindex
11200,Fibromyalgia,1998,25,0.068239679,0.178706019,-0.342318341,-0.168433649,0.030493109,0.277861134,0.447439604,contested,stigmaindex
11225,Fibromyalgia,2001,25,-0.154068912,0.201963862,-0.65784961,-0.485909146,-0.188967268,0.13592794,0.294355176,contested,stigmaindex
11250,Fibromyalgia,2004,25,-0.237398173,0.20227674,-0.731496669,-0.557718342,-0.221814424,0.044332795,0.093381271,contested,stigmaindex
11275,Fibromyalgia,2007,25,0.39502293,0.168395847,0.098436106,0.150684921,0.389276236,0.660356934,0.811052263,contested,stigmaindex
11300,Fibromyalgia,2010,25,-0.108615788,0.195020307,-0.378973056,-0.362755007,-0.186893944,0.214079685,0.319238037,contested,stigmaindex
11325,Fibromyalgia,2013,25,0.921759312,0.145845009,0.645151172,0.68180454,0.896819413,1.13103887,1.263027415,contested,stigmaindex
11350,Fibromyalgia,2016,25,0.604356001,0.192484831,0.241570592,0.264251806,0.639491442,0.89791148,0.938141659,contested,stigmaindex
11375,Fragile_X,1980,0,,,,,,,,genetic,stigmaindex
11400,Fragile_X,1983,0,,,,,,,,genetic,stigmaindex
11425,Fragile_X,1986,0,,,,,,,,genetic,stigmaindex
11450,Fragile_X,1989,23,0.844714522,0.217600526,0.385369609,0.474675212,0.89409332,1.130518671,1.265251666,genetic,stigmaindex
11475,Fragile_X,1992,21,0.992745923,0.283604118,0.602960665,0.654400561,0.891811334,1.460477722,1.520933092,genetic,stigmaindex
11500,Fragile_X,1995,17,0.77088144,0.207111773,0.433346912,0.514909231,0.71035371,1.145124186,1.179916695,genetic,stigmaindex
11525,Fragile_X,1998,7,0.308899986,0.199565433,0.169021029,0.171576493,0.234619439,0.64823707,0.725160651,genetic,stigmaindex
11550,Fragile_X,2001,25,0.436812704,0.180957012,0.13816625,0.141351218,0.432797804,0.691103443,0.777119368,genetic,stigmaindex
11575,Fragile_X,2004,25,0.191251259,0.212655646,-0.20616223,-0.13251929,0.1625918,0.511847409,0.710253858,genetic,stigmaindex
11600,Fragile_X,2007,25,1.130979918,0.229863242,0.671844237,0.840835342,1.125022382,1.504615227,1.57650438,genetic,stigmaindex
11625,Fragile_X,2010,25,0.908051536,0.211782463,0.49449211,0.540603571,0.893441148,1.250233274,1.283600926,genetic,stigmaindex
11650,Fragile_X,2013,12,0.944157299,0.133849362,0.725086048,0.728709655,0.967169948,1.133644306,1.13827534,genetic,stigmaindex
11675,Fragile_X,2016,1,0.333777413,,0.333777413,0.333777413,0.333777413,0.333777413,0.333777413,genetic,stigmaindex
11700,G6PD_deficiency,1980,0,,,,,,,,genetic,stigmaindex
11725,G6PD_deficiency,1983,0,,,,,,,,genetic,stigmaindex
11750,G6PD_deficiency,1986,0,,,,,,,,genetic,stigmaindex
11775,G6PD_deficiency,1989,0,,,,,,,,genetic,stigmaindex
11800,G6PD_deficiency,1992,0,,,,,,,,genetic,stigmaindex
11825,G6PD_deficiency,1995,0,,,,,,,,genetic,stigmaindex
11850,G6PD_deficiency,1998,0,,,,,,,,genetic,stigmaindex
11875,G6PD_deficiency,2001,0,,,,,,,,genetic,stigmaindex
11900,G6PD_deficiency,2004,0,,,,,,,,genetic,stigmaindex
11925,G6PD_deficiency,2007,0,,,,,,,,genetic,stigmaindex
11950,G6PD_deficiency,2010,0,,,,,,,,genetic,stigmaindex
11975,G6PD_deficiency,2013,0,,,,,,,,genetic,stigmaindex
12000,G6PD_deficiency,2016,0,,,,,,,,genetic,stigmaindex
12025,Glaucoma,1980,25,1.162954273,0.172830688,0.822344929,0.898091033,1.145911463,1.397882419,1.583781004,visual_auditory,stigmaindex
12050,Glaucoma,1983,25,1.359427874,0.28067633,0.790886216,1.020216178,1.340012055,1.814370174,1.989980206,visual_auditory,stigmaindex
12075,Glaucoma,1986,25,1.526694975,0.363422936,0.659688763,0.890417812,1.576051435,1.961480554,2.077616185,visual_auditory,stigmaindex
12100,Glaucoma,1989,25,0.898798793,0.211095193,0.497761791,0.547243037,0.900572568,1.264195209,1.367585897,visual_auditory,stigmaindex
12125,Glaucoma,1992,25,0.551414909,0.207339607,0.225689867,0.264691652,0.529487193,0.861761652,1.048331216,visual_auditory,stigmaindex
12150,Glaucoma,1995,25,0.896596693,0.141569314,0.527560916,0.67800352,0.886749893,1.060404372,1.135183036,visual_auditory,stigmaindex
12175,Glaucoma,1998,25,0.504673159,0.143274086,0.167368955,0.293894533,0.50283812,0.721503132,0.736145962,visual_auditory,stigmaindex
12200,Glaucoma,2001,25,0.210601311,0.130216721,-0.104609996,-0.048644176,0.219888509,0.398569699,0.405442317,visual_auditory,stigmaindex
12225,Glaucoma,2004,25,0.315157865,0.190893114,0.007576945,0.063956498,0.28790069,0.61847808,0.702204444,visual_auditory,stigmaindex
12250,Glaucoma,2007,25,0.572405245,0.196670491,0.258322716,0.31250705,0.570983408,0.877192774,0.882229812,visual_auditory,stigmaindex
12275,Glaucoma,2010,25,0.188598869,0.196002032,-0.195029613,-0.181153333,0.24430794,0.480476433,0.539502144,visual_auditory,stigmaindex
12300,Glaucoma,2013,25,0.293015425,0.209803453,-0.05799273,-0.029523478,0.270804508,0.680647833,0.700518314,visual_auditory,stigmaindex
12325,Glaucoma,2016,25,0.736528091,0.148942753,0.501215566,0.52911954,0.719528832,0.968544666,1.065274157,visual_auditory,stigmaindex
12350,Gonorrhea,1980,25,1.931746386,0.194533653,1.559933454,1.632445451,1.882071435,2.28895004,2.347050607,stis,stigmaindex
12375,Gonorrhea,1983,25,1.896133146,0.210349927,1.499840364,1.584519076,1.864750564,2.205607617,2.508570492,stis,stigmaindex
12400,Gonorrhea,1986,25,2.215053304,0.173492959,1.849106222,1.991158186,2.190582454,2.438971004,2.590208054,stis,stigmaindex
12425,Gonorrhea,1989,25,1.776355259,0.221477349,1.194820523,1.432761531,1.819494516,2.119162048,2.13293919,stis,stigmaindex
12450,Gonorrhea,1992,25,1.588285562,0.228463573,0.983944222,1.235573837,1.651067823,1.88701341,2.060580343,stis,stigmaindex
12475,Gonorrhea,1995,25,1.510482497,0.166867845,1.201870546,1.24493781,1.492992342,1.745286014,1.912417591,stis,stigmaindex
12500,Gonorrhea,1998,25,1.496373845,0.194201304,1.08694233,1.21874405,1.458892465,1.777869189,1.910371602,stis,stigmaindex
12525,Gonorrhea,2001,25,1.297108028,0.161766927,1.053326175,1.053380792,1.271755293,1.551118712,1.585052848,stis,stigmaindex
12550,Gonorrhea,2004,25,1.374781212,0.238329577,0.936437994,1.091124865,1.332085967,1.775078635,1.84194243,stis,stigmaindex
12575,Gonorrhea,2007,25,1.288097521,0.20819936,0.929355271,0.969875303,1.285799898,1.630391614,1.655653775,stis,stigmaindex
12600,Gonorrhea,2010,25,1.482626649,0.181917208,0.991418764,1.204916579,1.491004795,1.736695579,1.781199306,stis,stigmaindex
12625,Gonorrhea,2013,25,1.49083128,0.249618788,1.022867199,1.090252404,1.518209934,1.8942845,1.918484777,stis,stigmaindex
12650,Gonorrhea,2016,25,1.064486745,0.159981068,0.703490078,0.785104442,1.079468712,1.314193435,1.328576699,stis,stigmaindex
12675,Gulf_war_syndrome,1980,0,,,,,,,,contested,stigmaindex
12700,Gulf_war_syndrome,1983,0,,,,,,,,contested,stigmaindex
12725,Gulf_war_syndrome,1986,0,,,,,,,,contested,stigmaindex
12750,Gulf_war_syndrome,1989,0,,,,,,,,contested,stigmaindex
12775,Gulf_war_syndrome,1992,25,1.482772142,0.171330338,0.834889412,1.284206371,1.510738641,1.685234201,1.70523876,contested,stigmaindex
12800,Gulf_war_syndrome,1995,25,1.563792089,0.136111231,1.279320315,1.407921079,1.530711502,1.782430229,1.820053339,contested,stigmaindex
12825,Gulf_war_syndrome,1998,25,1.619932994,0.168690219,1.360961348,1.441404487,1.578907281,1.916723711,2.033229887,contested,stigmaindex
12850,Gulf_war_syndrome,2001,25,1.772969758,0.17551976,1.460852638,1.555947276,1.742071658,2.060347008,2.0775958,contested,stigmaindex
12875,Gulf_war_syndrome,2004,25,0.772722568,0.253679729,0.130233951,0.35798667,0.769436016,1.150984271,1.230092421,contested,stigmaindex
12900,Gulf_war_syndrome,2007,22,1.328402296,0.343810331,0.478544377,0.700962043,1.394311972,1.812575208,2.088022918,contested,stigmaindex
12925,Gulf_war_syndrome,2010,24,0.835717409,0.346093308,0.187314884,0.411789313,0.811830223,1.375801214,1.808838904,contested,stigmaindex
12950,Gulf_war_syndrome,2013,24,1.06919121,0.24960185,0.306681238,0.797055029,1.054069884,1.459072536,1.472596258,contested,stigmaindex
12975,Gulf_war_syndrome,2016,8,0.762384007,0.305208912,0.083595125,0.267110825,0.781430681,1.068917339,1.069128692,contested,stigmaindex
13000,HIVAIDS,1980,24,1.395177281,0.304632567,0.662192985,0.85308769,1.395235159,1.913954774,2.002217293,stis,stigmaindex
13025,HIVAIDS,1983,25,0.630754344,0.092072185,0.458671905,0.467659848,0.629088394,0.77643968,0.785191879,stis,stigmaindex
13050,HIVAIDS,1986,25,0.512307972,0.070343589,0.404358987,0.421294742,0.499979138,0.640621235,0.702993266,stis,stigmaindex
13075,HIVAIDS,1989,25,0.465616057,0.071146909,0.308701072,0.338392701,0.473525487,0.570227306,0.613557234,stis,stigmaindex
13100,HIVAIDS,1992,25,0.337996453,0.086207431,0.204621919,0.207162246,0.305997562,0.463067148,0.567095321,stis,stigmaindex
13125,HIVAIDS,1995,25,0.190174082,0.070629196,0.003755145,0.081251561,0.187394181,0.288054746,0.301642478,stis,stigmaindex
13150,HIVAIDS,1998,25,0.40616065,0.07785842,0.240518153,0.270787829,0.396247387,0.530373459,0.538065426,stis,stigmaindex
13175,HIVAIDS,2001,25,0.189918262,0.088453966,0.044744912,0.048170541,0.199079186,0.307696912,0.398640597,stis,stigmaindex
13200,HIVAIDS,2004,25,0.368919585,0.076825487,0.18365952,0.26185579,0.373736132,0.475835196,0.481178688,stis,stigmaindex
13225,HIVAIDS,2007,25,0.151313514,0.065235712,0.02158222,0.025858242,0.154203342,0.247568183,0.255904855,stis,stigmaindex
13250,HIVAIDS,2010,25,0.043667902,0.091373699,-0.126614923,-0.084160777,0.048750835,0.219625996,0.224339346,stis,stigmaindex
13275,HIVAIDS,2013,25,0.36525341,0.090007382,0.169069728,0.212737063,0.385953143,0.492289003,0.503969583,stis,stigmaindex
13300,HIVAIDS,2016,25,0.318354495,0.106161845,0.133399589,0.151018743,0.321588146,0.47168658,0.511285126,stis,stigmaindex
13325,Hearing_Impairment,1980,25,-0.297007236,0.265280981,-0.700669914,-0.683840619,-0.289232738,0.185693442,0.237260688,visual_auditory,stigmaindex
13350,Hearing_Impairment,1983,25,-0.154028224,0.198863231,-0.461854391,-0.454942481,-0.143248592,0.24924852,0.289593155,visual_auditory,stigmaindex
13375,Hearing_Impairment,1986,25,-0.721888225,0.150614149,-1.109317839,-0.903434265,-0.767573819,-0.483716536,-0.429329291,visual_auditory,stigmaindex
13400,Hearing_Impairment,1989,25,-0.205816353,0.173417346,-0.499270964,-0.461956098,-0.158633281,0.064744443,0.222919628,visual_auditory,stigmaindex
13425,Hearing_Impairment,1992,25,-0.529530402,0.123844434,-0.811715931,-0.745696925,-0.53579624,-0.367208618,-0.291034838,visual_auditory,stigmaindex
13450,Hearing_Impairment,1995,25,-0.321397488,0.14556951,-0.650829043,-0.530379298,-0.308925483,-0.128327058,-0.099394452,visual_auditory,stigmaindex
13475,Hearing_Impairment,1998,25,-0.247408035,0.101411362,-0.481937783,-0.43737751,-0.235281158,-0.118560105,-0.110886345,visual_auditory,stigmaindex
13500,Hearing_Impairment,2001,25,-0.334534823,0.120511411,-0.618199952,-0.477019749,-0.344574392,-0.121569005,-0.032502577,visual_auditory,stigmaindex
13525,Hearing_Impairment,2004,25,-0.440239575,0.094960695,-0.63957762,-0.574965787,-0.445802703,-0.29501806,-0.20444876,visual_auditory,stigmaindex
13550,Hearing_Impairment,2007,25,-0.414283334,0.145127021,-0.787469335,-0.649973797,-0.407744888,-0.208396351,-0.140998792,visual_auditory,stigmaindex
13575,Hearing_Impairment,2010,25,-0.180649917,0.13406066,-0.39281294,-0.375011677,-0.181618121,0.034557536,0.100616496,visual_auditory,stigmaindex
13600,Hearing_Impairment,2013,25,-0.155459252,0.109588266,-0.357254319,-0.336870675,-0.129655479,-0.006742798,0.003242397,visual_auditory,stigmaindex
13625,Hearing_Impairment,2016,25,-0.079422074,0.115358351,-0.344781004,-0.251604603,-0.084484089,0.084913884,0.227488562,visual_auditory,stigmaindex
13650,Heart_disease,1980,25,0.915730549,0.113936161,0.728973813,0.733932288,0.937425099,1.096372734,1.17268613,behavioral,stigmaindex
13675,Heart_disease,1983,25,0.82396869,0.089433632,0.69137419,0.691880906,0.816724006,0.951389071,0.986903235,behavioral,stigmaindex
13700,Heart_disease,1986,25,0.843670472,0.066320048,0.672839832,0.759401687,0.840810463,0.952964997,0.970544517,behavioral,stigmaindex
13725,Heart_disease,1989,25,0.617770452,0.106986222,0.459207371,0.460348254,0.603607297,0.778217148,0.900189072,behavioral,stigmaindex
13750,Heart_disease,1992,25,0.551083384,0.093273869,0.389318131,0.399374408,0.546144955,0.695272047,0.695830755,behavioral,stigmaindex
13775,Heart_disease,1995,25,0.595417094,0.076598061,0.413927108,0.45588863,0.592445951,0.69645258,0.721306277,behavioral,stigmaindex
13800,Heart_disease,1998,25,0.64104388,0.069269505,0.513929605,0.551868637,0.625556216,0.765090024,0.77209593,behavioral,stigmaindex
13825,Heart_disease,2001,25,0.571209562,0.067443407,0.459756985,0.465005339,0.547747156,0.663698666,0.734023657,behavioral,stigmaindex
13850,Heart_disease,2004,25,0.685397463,0.082542013,0.479310658,0.529969862,0.702725348,0.785120158,0.870345518,behavioral,stigmaindex
13875,Heart_disease,2007,25,0.741999279,0.098566514,0.497624118,0.619838349,0.744467624,0.888376544,0.93493654,behavioral,stigmaindex
13900,Heart_disease,2010,25,0.764821186,0.105077876,0.561433755,0.567123342,0.749199217,0.93590445,0.949639969,behavioral,stigmaindex
13925,Heart_disease,2013,25,0.658033316,0.094411991,0.459993549,0.552125323,0.640702897,0.838209137,0.854873121,behavioral,stigmaindex
13950,Heart_disease,2016,25,0.758399747,0.106876966,0.562465242,0.600833542,0.771914441,0.917001848,0.946597621,behavioral,stigmaindex
13975,Hemochromatosis,1980,0,,,,,,,,genetic,stigmaindex
14000,Hemochromatosis,1983,0,,,,,,,,genetic,stigmaindex
14025,Hemochromatosis,1986,0,,,,,,,,genetic,stigmaindex
14050,Hemochromatosis,1989,1,0.813872516,,0.813872516,0.813872516,0.813872516,0.813872516,0.813872516,genetic,stigmaindex
14075,Hemochromatosis,1992,20,0.499442937,0.180859388,0.159592984,0.22517856,0.453370528,0.751578121,0.928331092,genetic,stigmaindex
14100,Hemochromatosis,1995,25,0.837107194,0.271653918,0.323755883,0.430483844,0.85337837,1.321550159,1.419683203,genetic,stigmaindex
14125,Hemochromatosis,1998,25,0.696574431,0.213574034,0.317963458,0.364561304,0.693339043,1.010610316,1.129311733,genetic,stigmaindex
14150,Hemochromatosis,2001,25,0.80334579,0.342623503,0.099223055,0.304866064,0.815134339,1.383582017,1.662119925,genetic,stigmaindex
14175,Hemochromatosis,2004,11,0.48790552,0.386108628,-0.1288234,-0.104354358,0.489703134,1.063740985,1.293925382,genetic,stigmaindex
14200,Hemochromatosis,2007,3,0.544775967,0.374690085,0.258858416,0.270671443,0.406521254,0.923954072,0.96894823,genetic,stigmaindex
14225,Hemochromatosis,2010,0,,,,,,,,genetic,stigmaindex
14250,Hemochromatosis,2013,0,,,,,,,,genetic,stigmaindex
14275,Hemochromatosis,2016,6,0.674515613,0.253551928,0.310692176,0.333991675,0.739060529,0.939531347,0.955521988,genetic,stigmaindex
14300,Hemophilia,1980,25,1.113084004,0.275457328,0.55832804,0.699148591,1.073437668,1.678950595,1.739220589,genetic,stigmaindex
